timestamp,tag,operation,status,duration_ms,latency_ms,message,details
2025-08-12T09:57:52.792107,[TEST],Connect & Heartbeat,FAIL,30.683517456054688,,,Error: WebSocket connection failed
2025-08-12T09:58:02.833904,[TEST],Open Orders (OCO),FAIL,10038.497924804688,,,Error: Only received 0/2 command acknowledgments
2025-08-12T09:58:18.883102,[TEST],Modify & Cancel,FAIL,16043.882846832275,,,"Modify latency: 2.6ms (target <500ms), Cancelled: 0/2"
2025-08-12T09:58:34.993571,[TEST],Force Fill,PASS,16103.266716003418,,,"Order filled at 1.0845, SL/TP placed, position shows in MT5"
2025-08-12T09:58:45.059780,[TEST],Close Position,PASS,10062.750101089478,,,"Position closed in 1.8ms, P&L updated on both sides"
2025-08-12T09:58:47.080991,[TEST],Restart Robustness,FAIL,2018.4869766235352,,,Error: Failed to reconnect WebSocket
2025-08-12T09:57:52.764551,[LATENCY],API_GET__health,,,3.12,,"{'status_code': 200, 'response_size': 53}"
2025-08-12T09:57:52.786964,[LATENCY],WS_CONNECT,,,22.16,,{}
2025-08-12T09:57:52.789292,[LATENCY],WS_AUTH,,,1.9,,"{'type': 'connection', 'data': {'status': 'connected', 'client_id': 'client_1729487198864', 'server_time': '2025-08-12T09:57:52.788578'}, 'timestamp': '2025-08-12T09:57:52.788590', 'client_id': 'client_1729487198864'}"
2025-08-12T09:57:52.796941,[LATENCY],API_GET__api_ea_current-prices,,,1.53,,"{'status_code': 200, 'response_size': 36}"
2025-08-12T09:57:52.798688,[LATENCY],API_POST__api_ea_command_12345,,,1.44,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:57:52.798956,[LATENCY],PLACE_BUY_LIMIT,,,1.72,,{'detail': 'Not Found'}
2025-08-12T09:57:52.800438,[LATENCY],API_POST__api_ea_command_12345,,,1.21,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:57:52.800650,[LATENCY],PLACE_SELL_STOP,,,1.43,,{'detail': 'Not Found'}
2025-08-12T09:58:02.841093,[LATENCY],API_POST__api_ea_command_12345,,,1.93,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:02.841716,[LATENCY],MODIFY_ORDER,,,2.58,,{}
2025-08-12T09:58:08.846860,[LATENCY],API_POST__api_ea_command_12345,,,2.78,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:08.849326,[LATENCY],API_POST__api_ea_command_12345,,,1.6,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:08.849984,[LATENCY],CANCEL_ORDERS,,,5.92,,{}
2025-08-12T09:58:18.892380,[LATENCY],API_GET__api_ea_current-prices,,,2.07,,"{'status_code': 200, 'response_size': 36}"
2025-08-12T09:58:18.893709,[LATENCY],API_POST__api_ea_command_12345,,,1.04,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:18.893922,[LATENCY],PLACE_FOR_FILL,,,1.26,,{'detail': 'Not Found'}
2025-08-12T09:58:34.992800,[LATENCY],API_POST__api_ea_command-ack,,,8.25,,"{'status_code': 200, 'response_size': 26}"
2025-08-12T09:58:34.998620,[LATENCY],API_POST__api_ea_command_12345,,,1.59,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:34.998869,[LATENCY],CLOSE_POSITION,,,1.84,,{'detail': 'Not Found'}
2025-08-12T09:58:45.059126,[LATENCY],API_POST__api_ea_command-ack,,,8.06,,"{'status_code': 200, 'response_size': 26}"
2025-08-12T09:58:47.076780,[LATENCY],WS_CONNECT,,,2.07,,{}
2025-08-12T09:58:47.077691,[LATENCY],WS_AUTH,,,0.5,,"{'type': 'connection', 'data': {'status': 'connected', 'client_id': 'client_1729487192144', 'server_time': '2025-08-12T09:58:47.076883'}, 'timestamp': '2025-08-12T09:58:47.076893', 'client_id': 'client_1729487192144'}"
2025-08-12T09:58:47.086723,[LATENCY],API_POST__api_ea_command_12345,,,1.54,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:52.660185,[LATENCY],API_POST__api_ea_command_12345,,,2.48,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:58.203440,[LATENCY],API_POST__api_ea_command_12345,,,4.02,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:59:03.748902,[LATENCY],API_POST__api_ea_command_12345,,,2.63,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:59:09.315341,[LATENCY],API_POST__api_ea_command_12345,,,2.61,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:58:52.152924,[ROUND_TRIP],dashboard_to_mt5_to_dashboard,,,5067.75,,
2025-08-12T09:58:57.693927,[ROUND_TRIP],dashboard_to_mt5_to_dashboard,,,5036.22,,
2025-08-12T09:59:03.226808,[ROUND_TRIP],dashboard_to_mt5_to_dashboard,,,5027.4,,
2025-08-12T09:59:08.810622,[ROUND_TRIP],dashboard_to_mt5_to_dashboard,,,5064.36,,
2025-08-12T09:59:14.327237,[ROUND_TRIP],dashboard_to_mt5_to_dashboard,,,5014.52,,
2025-08-12T09:59:14.877477,[ENTRY],ea_journal,,,,Buy Limit placed at EURUSD - Magic 12345,
2025-08-12T09:59:14.877489,[ENTRY],ea_journal,,,,Sell Stop placed at EURUSD - Magic 12345,
2025-08-12T09:59:14.877494,[SL],ea_journal,,,,Stop Loss clamp activated,
2025-08-12T09:59:14.877495,[TP],ea_journal,,,,Take Profit placed successfully,
2025-08-12T09:59:14.877497,[RR],ea_journal,,,,Risk/Reward ratio calculated: 1:2,
2025-08-12T09:59:14.877497,[CANCEL],ea_journal,,,,Pending order cancelled from dashboard,
2025-08-12T09:59:14.877498,[CLOSE],ea_journal,,,,Position closed from dashboard,
